Train No	Train Name
7630	PA-NED HOLIDAY SPL
7631	NED-PA SPL
7632	NED-PA-NED
7696	KRNT-NDL DEMU
8001	SHM-JGM-SHM BI-WEEKLY SPL
8002	SHM-JGM-SHM BI-WEEKLY SPL
8003	SHM-YPR EXAM SPL
8014	MDN KGP MEMU SPL
8015	SRC-JGM MEMU SPL
8016	JGM-SRC MEMU SPL
8017	KGP-JGM MEMU SPL
8018	JGM-KGP MEMU SPL
8031	SRC ALD KUNBHA SPL
8033	KGP - BLS SPL
8034	BLS - KGP SPL
8035	BLS - KGP DEMU SPL
8036	BLS - KGP MEMU SPL
8041	SRC MAS SUP SPL
8042	CEN-HWH HOLIDAY SPECIAL
8051	KGP JGM MEMU SPL
8052	JGM KGP MEMU SPL
8059	LTT - SHM
8060	SRC - LTT DP SPL
8069	LTT SRC SPECIAL
8281	KRBA- BSP PASS SPL
8282	BSP-KRBA PASS. SPL.
8295	SUPER FAST WINTER SPL
8296	PUNE BSP WINTER SF SPL
8297	KUMBHA MELA SPECIAL
8474	SRC PURI SPECIAL
8509	VSKP-NED SPECIAL
8510	NED VSKP SPL
8514	VKB   VSKP SPL
8561	VSKP-RU SPL
8562	RU-VSKP SPL
8569	VSKP-QLN WEEKLY SPL
8570	QLN-VSKP WEEKLY SPL
8575	VSKP ALD SPECIA
8576	ALD VSKP SPL
8581	BPQ-CAF PASS SPL
8583	BPQ-CAF PASS SPL
8601	EMPTY RAKE-1
8602	EMPTY RAKE-3
8603	EMPTY RAKE
8604	EMPTY RAKE TO BIA
8611	NGP HATIA SPL
8631	RNC KIR SPECIAL
8635	HTE YPR SPECIAL
8636	YPR-HTE HOLIDAY SPECIAL
8637	HTE YPR SPL
8638	YPR-HTE HOLIDAY SPECIAL
8641	RNC ALD KUNBHA SPL
8785	DURG-DRZ PASS SPL
8786	DRZ-DURG PASS SPL
8787	R-DRZ LOCAL
8788	DRZ-R LOCAL
8789	R DURG PASS SPL
8791	G-DURG PASS SPL
8792	DURG-G PASS SPL
9003	BCT-NDLS  H/SPL
9004	NDLS-BCT HOLIDAY SPL
9005	BCT - NDLS H /SPL
9006	NDLS - BCT H /SPL
9009	GANPATHI SPL
9010	GANPATHI SPL
9011	KUMBH MELA SPL
9013	BDTS - VLKN SPL
9014	VLKN - BDTS SPL
9019	BDTS - BGKT HOLI SPL
9020	BGKT - BDTS HOLI SPL
9021	BDTS-JAT H/SPL
9022	JAT-BDTS  H/SPL
9025	BDTS-BHUJ   H/SPL
9026	BHUJ-BDTS H/SPL
9027	BCT-AII-DDR  SPL
9028	AII-DDR HOLIDAY SPL
9029	BDTS - INDB
9033	JAIPUR AC SPL
9045	BDTS-JP WEEKLY H.SPL
9046	JP-BDTS WEEKLY H/SPL
9047	KUMBH MELA SPL
9049	BDTS-JU  HOLIDAY SPL
9050	JU-BDTS HOLIDAY SPL
9123	ANND  DK MEMU
9124	DK - ANND
9125	ANND- DK
9126	DK -ANND
9151	ND - MDSA PASS SPL
9152	MDSA - ND -PASS SPL
9201	BVC - SUNR [TRI WEEKLY]
9202	SUNR - BVC [TRI WEEKLY]
9203	BVC - BTD[4 DAY A WEEK]
9204	BTD - BVC [ 4 DAYS ]
9231	BDTS-BVC H/SPL
9232	BVC-BDTS H/SPL
9301	BDTS - INDB[WEEKLY]
9302	INDB -BDTS [WEEKLY]
9305	INDB-PNBE [BI-WEEKLY]
9306	PNBE - INDB [BI WEEKLY]
9307	INDB - YPR SPL TRAIN
9308	YPR - INDB  SPL TRAIN
9313	INDB - ALD [KUMBH MELA]
9314	ALD - INDB KUMBH MELA SPL
9379	MHOW-INDM SPL
9380	INDM - MHOW SPL
9381	MHOW-KNWF SPL
9382	KNWF - MHOW SPL
9393	UJJN-BPL MEMU
9394	BPL-UJJN MEMU
9395	INDM-MHOW X- MAS SPL
9396	MHOW-INDM X- MAS SPL
9407	ADI - LJN HOLIDAY SPL
9408	LJN- ADI [H/SPL]
9409	ADI - PNBE [ H/SPL]
9410	PNBE - ADI [H/SPL]
9411	ADI-PNBE H/SPL
9412	AII-ADI  INAUGURAL SPL
9413	MAO - ADI H/SPL
9414	ADI - MAO AC SPL
9416	GANPATHI SPL
9417	GANPATHI SPL
9418	GANPATHI SPL
9419	MAJN - ADI HOLIDAY SPL
9420	ADI - MAJN HOLIDAY SPL
9425	ADI -JP WEEKLY SPL
9426	JP-ADI WEEKLY SPL
9427	ADI-ALD [WEEKLY] SPL
9428	ALD-ADI H/SPL
9429	ADI - ALD KUMBH MELA SPL
9430	ALD - ADI KUMBH MELA SPL
9432	ABR BDTS SPL
9561	BDTS - OKHA H / SPL
9562	OKHA - BDTS  H / SPL
9567	BRC-RJT H/SPL
9568	RJT-BRC SF H/SPL
9577	ADI - MGN POONAM SPL
9578	MGN - ADI POONAM SPL
9601	UDZ - AII SPL
9602	AII - UDZ SPL
9617	AII - BDTS URS SPL
9618	BDTS - AII URS SPL
9631	AII-BE URS/SPL
9632	BE-AII URS/SPL
9633	UDZ-AII URS/SPL
9635	AII-AF/URS SPL
9636	AF-UDZ URS/SPL
9637	AII - JU URS SPL
9638	JU- AII URS SPL
9639	AII-JU URS/SPL
9640	JU-AII URS/SPL
9641	AII BDTS URS SP
9643	JP BDTS URS SPL
9645	AII-JU URS/SPL
9646	JU-AII URS/SPL
9647	JP AII URS SPL
9648	AII NGP URS SPL
9649	JP BDTS URS SPL
9650	ADI - AII SPL
9651	MJ - BER SPL
9652	BER - MJ SPL
9701	JP-YPR
9713	JP-SUR SPL
9714	SUR-JP SPL
9715	JP-SUR SPL
9716	SUR-JP SPL
9719	JP-AII/HSP
