Station Code	Station Name	Station Coordinates
BBS	BHUBANESWAR	"20.265498,85.842705"
BBT	BIRATI	"22.66471,88.427603"
BBTR	BARBATPUR	"22.196743,77.920468"
BBU	BHABUA ROAD	"25.173097,83.619003"
BBV	BABHULGOAN	"17.778276,75.383377"
BBW	BODARWAR	"26.874,83.632736"
BBY	BHADROLI	"26.30588,78.181286"
BC	BAREILLY CITY	"28.3556464,79.403708"
BCA	BACHWARA JN	"25.5813776,85.9002624"
BCB	BHOWRA JN.	"23.67033,86.416569"
BCD	BANSDIH ROAD	"25.8113032,84.214958"
BCGM	BAINCHIGRAM	"23.10625031,88.21666817"
BCH	BERCHHA	"23.2828908,76.3346029"
BCHL	BACHELI	"18.703631,81.238704"
BCHN	BOCHASAN JN	"22.401823,72.847423"
BCHR	BACHAR	"21.949096,73.164482"
BCJ	BAGAHABISHUNPUR	"24.811668,84.204858"
BCK	BALICHAK	"22.35775589,87.55292416"
BCN	BACHHRAWAN	"26.4768911,81.1050265"
BCOB	BHACHAU BG	"23.301191,70.344772"
BCP	BICHPURI	"27.176517,77.91447"
BCPR	BACHARPUR	"0,0"
BCQ	BARACHAK JN.	"23.707056,86.928463"
BCRD	BARCHHI ROAD	"21.951962,78.312092"
BCT	MUMBAI CENTRAL	"18.970727,72.819443"
BCU	BHUCHCHU	"30.210212,75.0955162"
BCW	BHAWI	"26.227681,73.613548"
BCY	VARANASI CITY	"25.3342276,83.0142242"
BD	BADNERA JN	"20.8571625,77.7326897"
BDAG	BONIDANGA	"24.82304158,87.81011581"
BDB	VRINDAVAN	"27.576042,77.69351"
BDBA	BADABANDHA ROAD	"20.276851,86.520081"
BDBG	BADHAI BALAMGRH	"30.459994,74.460268"
BDBP	BASUDEBPUR	"24.639216,87.959461"
BDBS	BINDUBASINI HALT	"24.792968,87.859383"
BDC	BANDEL JN	"22.9235765,88.3792823"
BDCR	BHADRACHALAM RD	"17.550375,80.616034"
BDDR	BADODAR	"21.361333,70.296106"
